Country,Amp_SAC,Pond_num
Belgium,4,1
Belgium,5,2
Belgium,5,3
Belgium,6,4
Belgium,6,5
Belgium,6,6
Belgium,7,7
Belgium,7,8
Belgium,7,9
Belgium,7,10
Belgium,7,11
Belgium,8,12
Belgium,8,13
Belgium,8,14
Belgium,8,15
Belgium,8,16
Belgium,8,17
Belgium,8,18
Belgium,8,19
Belgium,9,20
Belgium,9,21
Belgium,9,22
Belgium,9,23
Belgium,9,24
Belgium,9,25
Belgium,9,26
Belgium,9,27
Belgium,9,28
Belgium,9,29
Belgium,10,30
Belgium,10,31
Belgium,10,32
Belgium,10,33
Belgium,10,34
Belgium,10,35
Belgium,10,36
Belgium,10,37
Belgium,10,38
Belgium,10,39
Belgium,10,40
Belgium,10,41
Belgium,10,42
Belgium,10,43
Belgium,11,44
Belgium,11,45
Belgium,11,46
Belgium,11,47
Belgium,11,48
Belgium,11,49
Belgium,11,50
Belgium,11,51
Belgium,11,52
Belgium,11,53
Belgium,11,54
Belgium,11,55
Belgium,11,56
Belgium,11,57
Belgium,11,58
Belgium,11,59
Belgium,11,60
Belgium,11,61
Belgium,11,62
Belgium,12,63
Belgium,12,64
Belgium,12,65
Belgium,12,66
Belgium,12,67
Belgium,12,68
Belgium,12,69
Belgium,12,70
Belgium,12,71
Belgium,12,72
Belgium,12,73
Belgium,12,74
Belgium,12,75
Belgium,12,76
Belgium,12,77
Belgium,12,78
Belgium,12,79
Belgium,12,80
Belgium,12,81
Belgium,12,82
Belgium,12,83
Belgium,12,84
Belgium,12,85
Belgium,12,86
Belgium,13,87
Belgium,13,88
Belgium,13,89
Belgium,13,90
Belgium,13,91
Belgium,13,92
Belgium,13,93
Belgium,13,94
Belgium,13,95
Belgium,13,96
Belgium,13,97
Belgium,13,98
Belgium,13,99
Belgium,13,100
Switzerland,5,1
Switzerland,6,2
Switzerland,7,3
Switzerland,7,4
Switzerland,7,5
Switzerland,8,6
Switzerland,8,7
Switzerland,8,8
Switzerland,8,9
Switzerland,9,10
Switzerland,9,11
Switzerland,9,12
Switzerland,9,13
Switzerland,9,14
Switzerland,9,15
Switzerland,10,16
Switzerland,10,17
Switzerland,10,18
Switzerland,10,19
Switzerland,10,20
Switzerland,10,21
Switzerland,10,22
Switzerland,10,23
Switzerland,11,24
Switzerland,11,25
Switzerland,11,26
Switzerland,11,27
Switzerland,11,28
Switzerland,11,29
Switzerland,11,30
Switzerland,11,31
Switzerland,11,32
Switzerland,11,33
Switzerland,11,34
Switzerland,12,35
Switzerland,12,36
Switzerland,12,37
Switzerland,12,38
Switzerland,12,39
Switzerland,12,40
Switzerland,12,41
Switzerland,12,42
Switzerland,12,43
Switzerland,12,44
Switzerland,12,45
Switzerland,12,46
Switzerland,12,47
Switzerland,12,48
Switzerland,12,49
Switzerland,13,50
Switzerland,13,51
Switzerland,13,52
Switzerland,13,53
Switzerland,13,54
Switzerland,13,55
Switzerland,13,56
Switzerland,13,57
Switzerland,13,58
Switzerland,13,59
Switzerland,13,60
