country,sp_richness,pond_num,indicator_name
United Kingdom,10,1,Macroinvertebrates
United Kingdom,15,2,Macroinvertebrates
United Kingdom,17,3,Macroinvertebrates
United Kingdom,17,4,Macroinvertebrates
United Kingdom,20,5,Macroinvertebrates
United Kingdom,21,6,Macroinvertebrates
United Kingdom,21,7,Macroinvertebrates
United Kingdom,22,8,Macroinvertebrates
United Kingdom,23,9,Macroinvertebrates
United Kingdom,23,10,Macroinvertebrates
United Kingdom,24,11,Macroinvertebrates
United Kingdom,24,12,Macroinvertebrates
United Kingdom,24,13,Macroinvertebrates
United Kingdom,25,14,Macroinvertebrates
United Kingdom,25,15,Macroinvertebrates
United Kingdom,26,16,Macroinvertebrates
United Kingdom,26,17,Macroinvertebrates
United Kingdom,26,18,Macroinvertebrates
United Kingdom,26,19,Macroinvertebrates
United Kingdom,26,20,Macroinvertebrates
United Kingdom,27,21,Macroinvertebrates
United Kingdom,27,22,Macroinvertebrates
United Kingdom,27,23,Macroinvertebrates
United Kingdom,27,24,Macroinvertebrates
United Kingdom,28,25,Macroinvertebrates
United Kingdom,28,26,Macroinvertebrates
United Kingdom,28,27,Macroinvertebrates
United Kingdom,28,28,Macroinvertebrates
United Kingdom,28,29,Macroinvertebrates
United Kingdom,28,30,Macroinvertebrates
United Kingdom,28,31,Macroinvertebrates
United Kingdom,28,32,Macroinvertebrates
United Kingdom,29,33,Macroinvertebrates
United Kingdom,29,34,Macroinvertebrates
United Kingdom,29,35,Macroinvertebrates
United Kingdom,29,36,Macroinvertebrates
United Kingdom,29,37,Macroinvertebrates
United Kingdom,29,38,Macroinvertebrates
United Kingdom,29,39,Macroinvertebrates
United Kingdom,29,40,Macroinvertebrates
United Kingdom,29,41,Macroinvertebrates
United Kingdom,29,42,Macroinvertebrates
United Kingdom,29,43,Macroinvertebrates
United Kingdom,29,44,Macroinvertebrates
United Kingdom,29,45,Macroinvertebrates
United Kingdom,30,46,Macroinvertebrates
United Kingdom,30,47,Macroinvertebrates
United Kingdom,30,48,Macroinvertebrates
United Kingdom,30,49,Macroinvertebrates
United Kingdom,30,50,Macroinvertebrates
United Kingdom,30,51,Macroinvertebrates
United Kingdom,30,52,Macroinvertebrates
United Kingdom,30,53,Macroinvertebrates
United Kingdom,30,54,Macroinvertebrates
United Kingdom,30,55,Macroinvertebrates
United Kingdom,30,56,Macroinvertebrates
United Kingdom,30,57,Macroinvertebrates
United Kingdom,30,58,Macroinvertebrates
United Kingdom,30,59,Macroinvertebrates
United Kingdom,30,60,Macroinvertebrates
United Kingdom,30,61,Macroinvertebrates
United Kingdom,30,62,Macroinvertebrates
United Kingdom,30,63,Macroinvertebrates
United Kingdom,30,64,Macroinvertebrates
United Kingdom,30,65,Macroinvertebrates
United Kingdom,30,66,Macroinvertebrates
United Kingdom,30,67,Macroinvertebrates
United Kingdom,30,68,Macroinvertebrates
United Kingdom,30,69,Macroinvertebrates
United Kingdom,30,70,Macroinvertebrates
United Kingdom,30,71,Macroinvertebrates
United Kingdom,30,72,Macroinvertebrates
