Indicator,Trophic state,Average,,,,
Amphibian species,Oligotrophic,2,,,,
Amphibian species,Mesotrophic,2.25,,,,
Amphibian species,Eutrophic,3.43,,,,
Amphibian species,Hypertrophic,2.75,,,,
Amphibian species,Highly Hypertrophic,3.13,,,,
Aquatic plant species,Oligotrophic,21,,,,
Aquatic plant species,Mesotrophic,8.85,,,,
Aquatic plant species,Eutrophic,13,,,,
Aquatic plant species,Hypertrophic,12.7,,,,
Aquatic plant species,Highly Hypertrophic,13.2,,,,
Macroinvertebrates,Oligotrophic,16,,,,
Macroinvertebrates,Mesotrophic,6.81,,,,
Macroinvertebrates,Eutrophic,9.5,,,,
Macroinvertebrates,Hypertrophic,8.69,,,,
Macroinvertebrates,Highly Hypertrophic,8.81,,,,
"GHG emission (CH4, CO2)",Oligotrophic,1523,,,,
"GHG emission (CH4, CO2)",Mesotrophic,4576,,,,
"GHG emission (CH4, CO2)",Eutrophic,4763,,,,
"GHG emission (CH4, CO2)",Hypertrophic,7486,,,,
"GHG emission (CH4, CO2)",Highly Hypertrophic,12072,,,,
